id,name,tot_pop,no_hc,with_hc,public_hc,private_hc,perc_no_hc,perc_hc
1001,"Autauga County, Alabama",54243,5814,48429,15918,39433,0.107184337,0.892815663
1003,"Baldwin County, Alabama",188944,27758,161186,61122,126983,0.146911254,0.853088746
1005,"Barbour County, Alabama",24251,3760,20491,10720,13381,0.155045153,0.844954847
1007,"Bibb County, Alabama",21101,2725,18376,8555,12780,0.129140799,0.870859201
1009,"Blount County, Alabama",57163,6922,50241,19916,37729,0.121092315,0.878907685
1011,"Bullock County, Alabama",10162,1791,8371,4534,4996,0.176244834,0.823755166
1013,"Butler County, Alabama",20261,2603,17658,8894,11299,0.128473422,0.871526578
1015,"Calhoun County, Alabama",115801,15258,100543,44875,74620,0.13176052,0.86823948
1017,"Chambers County, Alabama",33750,5103,28647,14228,19150,0.1512,0.8488
1019,"Cherokee County, Alabama",25654,3278,22376,10507,16602,0.127777345,0.872222655
1021,"Chilton County, Alabama",43456,6840,36616,15025,26674,0.157400589,0.842599411
1023,"Choctaw County, Alabama",13416,1817,11599,6045,7427,0.135435301,0.864564699
1025,"Clarke County, Alabama",25077,3989,21088,10465,14015,0.159070064,0.840929936
1027,"Clay County, Alabama",13340,1768,11572,5544,8426,0.132533733,0.867466267
1029,"Cleburne County, Alabama",14837,2044,12793,5777,9166,0.137763699,0.862236301
1031,"Coffee County, Alabama",48624,6299,42325,17370,32092,0.129545081,0.870454919
1033,"Colbert County, Alabama",54033,6364,47669,20566,35536,0.117779875,0.882220125
1035,"Conecuh County, Alabama",12928,2783,10145,5409,6000,0.215269183,0.784730817
1037,"Coosa County, Alabama",10953,1705,9248,4775,6362,0.155665115,0.844334885
1039,"Covington County, Alabama",37387,5186,32201,15082,22556,0.138711317,0.861288683
1041,"Crenshaw County, Alabama",13733,1734,11999,5443,8547,0.126265201,0.873734799
1043,"Cullman County, Alabama",79903,12351,67552,27905,50151,0.154574922,0.845425078
1045,"Dale County, Alabama",47156,6124,41032,16456,31749,0.129866825,0.870133175
