State,Democrat,Republican,Other
AK,93003,130413,23172
AL,718084,1306925,53156
AR,378729,677904,51982
AZ,936250,1021154,105406
CA,7362490,3916209,675618
CO,1212209,1137455,214521
CT,884432,668266,70844
DC,260223,11553,8496
DE,235581,185103,20851
FL,4485745,4605515,295490
GA,1837300,2068623,123641
HI,266827,128815,33183
IA,650790,798923,93167
ID,189677,407199,91359
IL,2977498,2118179,278603
IN,1031953,1556220,133856
KS,414788,656009,76346
KY,628834,1202942,90442
LA,779535,1178004,70192
MA,1964768,1083069,183694
MD,1497951,873646,102946
ME,354873,334838,51839
MI,2268193,2279805,242919
MN,1366676,1322891,226837
MO,1054889,1585753,134456
MS,462001,678457,22529
MT,174521,274120,34933
NC,2162074,2339603,127794
ND,93526,216133,27309
NE,273858,485819,45961
NH,348521,345789,37243
NJ,2021756,1535513,117624
NM,380724,315875,86528
NV,537753,511319,73918
NY,4143874,2640570,261731
OH,2317001,2771984,236410
OK,419788,947934,83334
OR,934631,742506,131438
PA,2844705,2912941,212461
RI,249902,179421,20798
SC,849469,1143611,91364
SD,117442,227701,24904
TN,867110,1517402,100179
TX,3867816,4681590,353831
UT,274188,452086,258683
VA,1916845,1731156,196786
VT,178179,95053,18181
WA,1610524,1129120,218298
WI,1380823,1403694,152809
WV,187457,486198,34571
WY,55949,174248,18545
