TAZ,Saudi Male,Saudi Female,Total_Saudi,Non-Saudi Male,Non-Saudi Female,Total_Non_Saudi,Total Pop
1,,,,,,,
2,5956,6943,12899,1943,2738,4681,17580
3,4339,4385,8724,2425,1189,3614,12338
4,1696,1160,2856,2427,106,2533,5389
5,1710,1553,3263,620,914,1534,4797
6,2063,1840,3903,1551,850,2401,6304
7,33,29,62,77,43,120,182
8,1099,984,2083,183,115,298,2381
9,2857,2264,5121,619,619,1238,6359
10,2562,2201,4763,1653,992,2645,7408
11,0,0,0,0,0,0,0
12,844,545,1389,195,182,377,1766
13,1636,1055,2691,1302,1213,2515,5206
14,3507,3369,6876,4289,5217,9506,16382
15,853,550,1403,157,146,303,1706
16,438,283,721,371,345,716,1437
17,1180,1082,2262,736,646,1382,3644
18,470,432,902,306,268,574,1476
19,593,544,1137,220,193,413,1550
20,354,325,679,82,72,154,833
21,177,147,324,214,193,407,731
22,764,683,1447,599,763,1362,2809
23,35,32,67,19,24,43,110
24,864,772,1636,707,899,1606,3242
25,242,216,458,134,171,305,763
26,0,0,0,0,0,0,0
27,10205,7227,17432,12635,8076,20711,38143
28,896,634,1530,603,385,988,2518
29,3267,2580,5847,11815,7955,19770,25617
30,1581,1248,2829,4445,2993,7438,10267
31,511,542,1053,827,560,1387,2440
32,896,804,1700,543,485,1028,2728
33,453,407,860,285,254,539,1399
34,371,393,764,204,138,342,1106
35,356,320,676,241,215,456,1132
36,913,967,1880,851,575,1426,3306
37,558,502,1060,404,361,765,1825
38,1180,1250,2430,1137,769,1906,4336
39,2,7,9,60,31,91,100
40,5,15,20,184,96,280,300
41,3,8,11,81,42,123,134
42,588,492,1080,1007,672,1679,2759
43,374,313,687,1445,963,2408,3095
44,7985,7230,15215,92,831,923,16138
45,5478,6003,11481,1070,714,1784,13265
46,1111,1239,2350,3538,2727,6265,8615
47,1585,1282,2867,991,1165,2156,5023
48,56,45,101,46,54,100,201
49,2805,2662,5467,1324,1853,3177,8644
50,195,97,292,3,2,5,297
51,109,89,198,2,1,3,201
52,603,436,1039,9,11,20,1059
53,2557,2196,4753,558,1030,1588,6341
54,1353,1064,2417,827,680,1507,3924
55,2088,1611,3699,1676,609,2285,5984
56,1445,853,2298,982,642,1624,3922
57,2616,0,2616,0,0,0,2616
58,859,669,1528,633,442,1075,2603
59,423,330,753,468,327,795,1548
60,1,1,2,2,1,3,5
61,121,95,216,134,94,228,444
62,593,461,1054,401,280,681,1735
63,1040,809,1849,655,458,1113,2962
64,4992,4024,9016,3420,3330,6750,15766
65,4392,3541,7933,2549,2481,5030,12963
66,741,718,1459,1223,643,1866,3325
67,815,791,1606,809,425,1234,2840
68,0,0,0,0,0,0,0
69,581,564,1145,598,314,912,2057
70,2,2,4,11,6,17,21
71,367,356,723,376,197,573,1296
72,977,773,1750,916,1106,2022,3772
73,834,612,1446,641,653,1294,2740
74,323,237,560,221,226,447,1007
75,0,0,0,0,0,0,0
76,860,631,1491,1276,1300,2576,4067
77,381,279,660,365,371,736,1396
78,426,313,739,383,391,774,1513
79,622,602,1224,526,763,1289,2513
80,3422,3055,6477,1915,3531,5446,11923
81,3085,2805,5890,905,1810,2715,8605
82,3522,3117,6639,2514,1824,4338,10977
83,2355,1767,4122,1295,1578,2873,6995
84,2430,1823,4253,997,1216,2213,6466
85,3210,2742,5952,1307,1777,3084,9036
86,148,141,289,555,476,1031,1320
87,968,925,1893,2688,2307,4995,6888
88,402,385,787,653,561,1214,2001
89,309,248,557,540,396,936,1493
90,467,374,841,947,696,1643,2484
91,114,92,206,356,261,617,823
92,310,248,558,345,253,598,1156
93,672,539,1211,1003,736,1739,2950
94,330,264,594,813,596,1409,2003
95,526,421,947,1024,751,1775,2722
96,450,360,810,891,654,1545,2355
97,7,5,12,25,18,43,55
98,318,303,621,1274,1093,2367,2988
99,25,24,49,107,91,198,247
100,314,301,615,1179,1012,2191,2806
101,681,651,1332,1443,1238,2681,4013
102,1011,966,1977,2297,1971,4268,6245
103,571,546,1117,955,820,1775,2892
104,216,174,390,293,215,508,898
105,202,162,364,317,232,549,913
106,443,356,799,1009,740,1749,2548
107,395,317,712,676,496,1172,1884
108,501,534,1035,1499,1401,2900,3935
109,747,794,1541,1653,1545,3198,4739
110,1236,1200,2436,427,881,1308,3744
111,2,1,3,7,5,12,15
112,1563,1253,2816,5533,4061,9594,12410
113,8,7,15,34,25,59,74
114,429,344,773,1581,1161,2742,3515
115,3,3,6,42,14,56,62
116,19,19,38,347,116,463,501
117,1,0,1,3,2,5,6
118,529,448,977,61,53,114,1091
119,1646,1397,3043,238,208,446,3489
120,779,661,1440,311,273,584,2024
121,7506,6368,13874,3573,3127,6700,20574
122,645,556,1201,431,331,762,1963
123,2825,2432,5257,2348,1800,4148,9405
124,2050,1764,3814,1203,923,2126,5940
125,1604,1422,3026,202,213,415,3441
126,1063,943,2006,226,240,466,2472
127,2110,799,2909,0,293,293,3202
128,12925,10109,23034,5529,1974,7503,30537
129,24,0,24,803,9,812,836
130,6734,5443,12177,2888,2402,5290,17467
131,220,177,397,215,178,393,790
132,4760,3848,8608,2943,2447,5390,13998
133,5923,4768,10691,1172,1817,2989,13680
134,3844,3094,6938,782,1211,1993,8931
135,4293,3761,8054,3024,3111,6135,14189
136,5578,4886,10464,4526,4655,9181,19645
137,13057,11439,24496,7153,7357,14510,39006
138,5604,4910,10514,4284,4406,8690,19204
139,5483,5364,10847,855,1612,2467,13314
140,3958,3872,7830,948,1787,2735,10565
141,6459,6178,12637,2351,2075,4426,17063
142,4615,4413,9028,2228,1965,4193,13221
143,3599,3443,7042,1915,1689,3604,10646
144,5860,5566,11426,2356,2074,4430,15856
145,2213,2101,4314,1043,918,1961,6275
146,3951,3753,7704,1709,1505,3214,10918
147,4681,4445,9126,1775,1563,3338,12464
148,0,0,0,1327,0,1327,1327
149,12684,10053,22737,3279,1639,4918,27655
150,7,7,14,7,5,12,26
151,0,0,0,0,0,0,0
152,12569,12229,24798,124,249,373,25171
153,1116,1003,2119,395,226,621,2740
154,2157,1939,4096,236,135,371,4467
155,8604,7737,16341,883,506,1389,17730
156,15845,15148,30993,868,1015,1883,32876
157,11712,11196,22908,2957,3461,6418,29326
158,678,653,1331,69,44,113,1444
159,3341,3462,6803,1141,1141,2282,9085
160,6432,8072,14504,7221,2280,9501,24005
161,0,0,0,0,0,0,0
162,2079,1907,3986,776,716,1492,5478
163,16145,15807,31952,10778,3003,13781,45733
164,3141,2879,6020,843,778,1621,7641
165,9908,8471,18379,1558,1909,3467,21846
166,5908,5051,10959,1075,1317,2392,13351
167,894,697,1591,152,76,228,1819
168,2586,2212,4798,864,1058,1922,6720
169,4999,4556,9555,1697,2595,4292,13847
170,10643,8442,19085,0,440,440,19525
171,3681,2870,6551,270,135,405,6956
172,1531,1279,2810,434,767,1201,4011
173,671,561,1232,545,963,1508,2740
174,330,330,660,874,544,1418,2078
