X,Y,OBJECTID,NAME,Precinct,GlobalID,MDJ,ShapeSTAre,ShapeSTLen
-77.972390660489793,41.129340369616195,1,BURNSIDE,40,{A309C3DE-8AD8-46A5-B8EA-B8F7E1ADB972},49-3-03,2530028704.340579509735107,280069.560289291024674
-77.641414208564726,41.068504956507134,2,LIBERTY,60,{57577111-D7B7-4048-9517-EF2ED6059928},49-3-02,687883057.806030273437500,131265.443714385532076
-77.688089510903168,41.010310215770744,3,HOWARD TWP,58,{C9B8B5CF-6699-485A-97D2-74FB9B2D6FFE},49-3-02,527532038.423645019531250,111072.612890665564919
-77.642347786742661,40.985981228797201,4,MARION,61,{FA3740D2-624B-4464-B6CD-16F6E219ADEA},49-3-02,613549264.593048095703125,131038.017743329546647
-77.949892143098751,41.027567982039685,5,SNOW SHOE,14,{908F092A-BCFF-4EA5-99D7-B9248A2EA56A},49-3-03,16444416.624938964843750,19920.287608030746924
-77.657477688271825,41.012795492204553,6,HOWARD BORO,7,{E03D5F0A-1164-4956-B610-49B7F2F5A6BF},49-3-02,10186521.797668457031250,12891.295665842630115
-77.903088298935529,40.940300115466613,7,UNION,82,{0C3D3206-CB2A-445B-9AC3-2C9943593DE1},49-3-02,1303914289.921630859375000,159383.384361345262732
-77.36254661727277,40.9012665828782,8,HAINES,54,{55F887FC-EB7B-4B92-BB12-F6C4D8591F25},49-3-04,1599024077.353179931640625,187909.973294772091322
-77.574318715191367,40.864752307380094,9,GREGG,53,{22C019B6-C811-4BE5-94DD-1BB2BFD34283},49-3-04,1304603689.012084960937500,162328.496002542553470
-77.791942992739251,40.942487425611205,10,MILESBURG,8,{2D50884E-AA4A-4138-80BD-6DC3ED13C7EC},49-3-02,12539891.692596435546875,24110.265681251748902
-77.490971343659041,40.856742646696325,11,PENN,69,{7EED36C9-1A40-46A1-AF70-E386852D1220},49-3-04,790721712.560821533203125,149471.711668457894120
-77.976750740618826,40.868421786918383,12,HUSTON,59,{1D3A1BEF-76E8-41FE-B666-7C32645EB0E9},49-3-03,713736724.852203369140625,110491.752315526362509
-77.876680555771216,40.906300046987653,13,UNIONVILLE,35,{37DBB13A-97E6-45C0-A410-668B0CB4490B},49-3-02,6595259.149902343750000,12823.387767016434736
-77.476536324212177,40.893608584359725,14,MILLHEIM,9,{1366E0CB-E0E3-4A16-8B76-D29C84527082},49-3-04,36892808.813171386718750,31625.360339703896898
-78.218559825523414,40.887139893746735,15,RUSH NORTH CENTRAL,15,{A9C660FC-56A7-4103-BC13-1E3E29EA932E},49-3-03,7040150.904785156250000,11155.710782437710805
-78.06467565691122,40.821473870233405,16,WORTH,85,{EE3708D2-7862-4550-91BF-323803E33788},49-3-03,603729366.018646240234375,117961.751003241704893
-77.685035449898081,40.84479174121811,17,CENTRE HALL,6,{5A30CAA0-031E-41BF-8E87-31B551B49389},49-3-04,17192954.171600341796875,17509.396312248176400
-78.024172671392037,40.773691732225132,18,HALFMOON PROPER,55,{3A383863-2F13-4E72-A812-8C90B1FA173E},49-2-01,541649244.012420654296875,154730.775245336903026
-78.157787468253375,40.768969871668766,19,TAYLOR,81,{DF8CA601-E2D0-4DC8-8D29-54D41EBA7692},49-3-03,854720488.730438232421875,141357.096756086626556
-78.052283382521267,40.800303768645556,20,PORT MATILDA,13,{70B82E95-B6F4-4A88-8F97-AE23D994AD10},49-3-03,15701284.166564941406250,15987.533916883581696
-77.801009765750621,41.137103095232419,21,CURTIN NORTH,45,{B17041DE-D4AF-48F2-B475-D99A0F3713D5},49-3-02,568786603.559387207031250,129821.833993760519661
-77.734935609525763,41.063307277764579,22,CURTIN SOUTH,46,{544CB492-C711-426E-BD04-A13FF376A623},49-3-02,662297435.070495605468750,110319.230414328572806
-78.012417657165685,41.022695254155572,23,SNOW SHOE WEST,77,{14671D05-552F-4F10-92DB-A5CEAE40F975},49-3-03,552894700.875793457031250,118589.403738173190504
