ID,NAME,CATEGORY,CHECK-IN,LAT,LONG
558e5ce5498e164a5cb27afc,™ƒø‡ø_ø± ø_™‹™ƒ™‹™€ ø¬ø_™‹ø¿ - King Khalid Airport,Airport Terminal,21,24.7604827,46.70533801
4ccd23f1c0378cfa93b68b48,Princess Nora University,College Academic Building,532,24.77434409,46.72884464
4da5ec8a4b2280544b678da0,Lulu Hypermarket | ™‹™š™‹™š ™ˆø_™_øÂø±™ƒø_ø±™€øÈ,Department Store,6453,24.66398904,46.7037573
50295233e4b0db2acbb75c69,Papparoti | øÂø_øÂø_ø±™šøÈ™_,Coffee Shop,2168,24.69346785,46.66963577
4da5ec8a4b2280544b678da0,Avenue Mall,Department Store,1474,24.66356887,46.70393661
4da5ec8a4b2280544b678da0,New Cabalen,Department Store,216,24.663668,46.7034674
4da5ec8a4b2280544b678da0,Darbar Indian Cuisine | ™ƒø‡ø_™ƒ ø¿ø_ø±øÂø_ø±ø_™‹™ˆ™Êø¿™_,Department Store,170,24.66348507,46.70386111
4da5ec8a4b2280544b678da0,Baskin Robbins,Department Store,74,24.66372237,46.70373371
50e1f196e4b0748c84074466,Food Court - Avenue Mall,Diner,57,24.66344193,46.70359216
5318e95f498eaff004e39f6c,Candylawa | ™€ø_™Êø¿™_™‹ø_™š™ˆ,Candy Store,2292,24.69178485,46.66973479
5318e95f498eaff004e39f6c,VERSUS Versace CaffÛñ ™™_ø±ø_ø_øÈøÇ™_ ™€ø_™™_™ˆ,Candy Store,3005,24.69174811,46.6690558
4f1d62b0e4b03543a3409cd2,Wayne's Coffee | ™šø_™_™Êø_ ™€™š™™_,Toy / Game Store,3842,24.69187256,46.66885305
533687b3498ec0c5b90ff33b,Cafelawa | ™€ø_™™_™‹ø_™šø_,Coffee Shop,389,24.69151388,46.66966406
4eb81e4661af0dda917c47ae,PappaRoti Cafe | øÂø_øÂø_ø±™šøÈ™_ ™€ø_™™_™ˆ,Coffee Shop,4699,24.69215132,46.67296483
4fcf729ae4b07997d3141487,Panorama Foodcourt,Food Court,769,24.69218587,46.67000356
4fcf729ae4b07997d3141487,Hamleys ™ˆø_™ƒ™‹™_ø_,Food Court,963,24.69233696,46.66996112
4d4c01cfe4fd6ea8f7e8be61,Joe's Cafe | øå™šø_ ™€ø_™™_™ˆ,Coffee Shop,9826,24.69147424,46.67071085
4d4c01cfe4fd6ea8f7e8be61,Piatto øÂ™_ø_øÈ™š,Coffee Shop,5372,24.692233,46.670081
507c6210e4b076bc192f1072,Richony CafíÂ | ™‰™ˆ™šø© ø±™_øÈøÇ™š™Ê™_,Coffee Shop,3650,24.67535833,46.67138515
54441e14498ec84e43188646,Boardwalk Burgers & Fries | øÂ™šø±ø¿™š™š™€ øÂø±øåø±ø_ ø¢™Êø¿ ™ø±ø_™_ø_,Resraurant,1076,24.67618243,46.67674683
4cab502436fa6dcbd0e5d778,Lusin | ™‹™šø_™_™Ê,Dessert Shop,28035,24.69787485,46.6836977
4c4c19985609c9b6dbac0992,The Restaurant,Restaurant,10224,24.69740567,46.68330234
4c4c19985609c9b6dbac0992,Ladurí©e | ™‹ø_ø¿™šø±™_™ˆ,Restaurant,15097,24.6979379,46.68359949
4c4c19985609c9b6dbac0992,LeníÇtre | ™‹™š™Ê™šøÈø±,Restaurant,15579,24.69726272,46.68353817
4be70e16cf200f47b634153c,Whites Pharmacy,Supermarket,1919,24.67585123,46.67619507
52c11e7a11d21c6e7f7c0e7b,Cavalli CaffÛñ | ™€˜_ø_™‹™_ ™€ø_™™_™ˆ,Coffee Shop,1563,24.71173388,46.6754877
4b7c4529f964a5209f882fe3,Dunkin' Donuts | ø¿ø_™Ê™€™Ê ø¿™š™ÊøÈø_,Donut Shop,3280,24.69016506,46.68250526
4c3f278f51dee21ed792eb6e,Baskin Robbins,Ice Cream Shop,528,24.69022653,46.68251941
51ac6c98498e44427112f9bf,Whites Pharmacy øµ™_ø¿™‹™_ø© ™šø_™_øÈø_,Drugstore / Pharmacy,445,24.68919809,46.68242508
4c601b8490b2c9b6d7013c22,Trader Vic's | øÈø±ø_™_ø¿™_ø± ˜_™_™€ø_,Restaurant,3076,24.69246582,46.67130499
4c601b8490b2c9b6d7013c22,LeníÇtre ™‹™š™Ê™šøÈø±,Restaurant,1354,24.69208746,46.67135686
4c601b8490b2c9b6d7013c22,Jarir Bookstore | ™ƒ™€øÈøÂø© øåø±™_ø±,Restaurant,7968,24.69391192,46.67052696
4c601b8490b2c9b6d7013c22,Tonino Lamborghini Cafe Resto | ™‹ø_™ƒøÂ™šø±øå™_™Ê™_,Restaurant,2508,24.69194985,46.67120125
4c601b8490b2c9b6d7013c22,Danube | ø_™‹ø¿ø_™Ê™šøÂ,Restaurant,6065,24.6924586,46.66917368
504c55e7e4b04421f3310d34,Bab Al Yemen Rest. | ™ƒø‡ø_ø_™ƒ øÂø_øÂ ø_™‹™_™ƒ™Ê,Restaurant,5286,24.69416863,46.67872282
4d2146a4d7b0b1f77cf71b9f,Dunkin' Donuts | ø¿ø_™Ê™€™Ê ø¿™š™ÊøÈø_,Donut Shop,5306,24.67609531,46.67559145
4d2146a4d7b0b1f77cf71b9f,Wayne's Coffee | ™šø_™_™Êø_ ™€™š™™_,Donut Shop,10480,24.67566508,46.67582252
4d2146a4d7b0b1f77cf71b9f,Hyper Panda ™ˆø_™_øÂø± øÂ™Êø¿™ˆ,Donut Shop,4102,24.67614917,46.67711938
