eid source target volume capacity voc degree free_travel_time travel_time
101 1 2 67.222 2850 0.0235867 158 0.268594 0.268594
20415 1 5748 53.1765 2850 0.0186584 108 1.23856 1.23856
14254 1 9437 262.015 2850 0.0919351 406 1.35403 1.35404
11874 2 9950 8.005 9405 0.000851143 8 1.06739 1.06739
16603 2 1 209.027 2850 0.073343 369 0.268594 0.268596
6680 2 7438 72.643 2850 0.0254888 91 1.28415 1.28415
143 3 4 2654.38 6963 0.381212 956 0.0253158 0.025396
8904 4 6778 434.719 1900 0.228799 207 0.0396587 0.039675
4373 4 5131 2343.02 6963 0.336496 883 0.0267695 0.026821
15522 4 10095 1382.16 6963 0.1985 858 0.025433 0.025439
16128 4 10005 2157.26 1900 1.1354 871 0.039383 0.0492004
173 5 6 7549.5 6963 1.08423 996 0.168123 0.202974
16856 6 9714 9493.38 6963 1.3634 1099 0.321262 0.487775
367 7 8 3229.22 6963 0.463768 730 0.00582652 0.00586695
13750 8 4396 3229.1 1900 1.69953 730 0.0316785 0.0713214
14806 9 3454 94.625 9405 0.0100611 202 0.661006 0.661006
371 9 10 17.935 9405 0.00190696 19 0.990579 0.990579
6026 10 9 20.1927 9405 0.00214702 64 0.990579 0.990579
1146 10 2823 1498.74 3800 0.394404 567 0.258379 0.259317
436 11 12 32.34 1900 0.0170211 107 0.168919 0.168919
10859 11 9713 94.8355 1900 0.0499134 228 0.168925 0.168925
17099 11 1799 16.313 9405 0.0017345 77 0.379136 0.379136
18020 12 8698 22.5028 1900 0.0118436 89 0.513992 0.513992
17015 12 4350 25.911 1900 0.0136374 90 0.674154 0.674154
19947 12 11 14.7118 1900 0.00774303 59 0.168919 0.168919
19315 13 3087 4.72 2850 0.00165614 6 0.270314 0.270314
488 13 14 92.4833 1900 0.0486754 162 0.0664432 0.0664432
2730 14 4758 121.756 1900 0.0640818 244 0.320546 0.320547
549 15 16 585.386 9284 0.0630532 170 0.287851 0.287851
17840 15 6055 132.523 1900 0.0697492 42 0.408481 0.408483
3636 16 4751 961.365 9284 0.103551 488 0.223071 0.223075
