eid source target volume capacity voc degree free_travel_time travel_time
101 1 2 154.14 2850 0.0540842 380 0.268594 0.268595
20415 1 5748 48.1035 2850 0.0168784 114 1.23856 1.23856
14254 1 9437 192.018 2850 0.0673748 448 1.35403 1.35403
11874 2 9950 19.345 9405 0.00205689 9 1.06739 1.06739
16603 2 1 164.376 2850 0.0576758 390 0.268594 0.268595
6680 2 7438 146.948 2850 0.0515605 103 1.28415 1.28415
143 3 4 2719.73 6963 0.390598 1018 0.0253158 0.0254042
8904 4 6778 468.74 1900 0.246705 221 0.0396587 0.0396808
4373 4 5131 2388.88 6963 0.343082 942 0.0267695 0.0268252
15522 4 10095 2189.48 6963 0.314445 987 0.025433 0.0254703
16128 4 10005 2328.48 1900 1.22551 959 0.039383 0.0527082
173 5 6 11119.6 6963 1.59696 1024 0.168123 0.332143
16856 6 9714 13257.5 6963 1.90399 1149 0.321262 0.954558
367 7 8 3066.4 6963 0.440385 795 0.00582652 0.00585939
13750 8 4396 3066.41 1900 1.6139 796 0.0316785 0.0639159
14806 9 3454 98.1393 9405 0.0104348 206 0.661006 0.661006
371 9 10 29.587 9405 0.00314588 23 0.990579 0.990579
6026 10 9 35.166 9405 0.00373907 135 0.990579 0.990579
1146 10 2823 2083.58 3800 0.54831 730 0.258379 0.261882
436 11 12 57.4398 1900 0.0302315 185 0.168919 0.168919
10859 11 9713 152.205 1900 0.080108 385 0.168925 0.168926
17099 11 1799 24.6428 9405 0.00262019 107 0.379136 0.379136
18020 12 8698 62.1317 1900 0.0327009 209 0.513992 0.513992
17015 12 4350 60.6365 1900 0.031914 190 0.674154 0.674154
19947 12 11 40.97 1900 0.0215632 184 0.168919 0.168919
19315 13 3087 7.33433 2850 0.00257345 10 0.270314 0.270314
488 13 14 160.708 1900 0.0845833 331 0.0664432 0.0664437
2730 14 4758 202.196 1900 0.106419 397 0.320546 0.320552
549 15 16 688.759 9284 0.0741878 165 0.287851 0.287852
17840 15 6055 168.946 1900 0.0889188 54 0.408481 0.408485
