eid source target volume capacity voc degree free_travel_time travel_time
101 1 2 216.697 2850 0.0760339 354 0.268594 0.268596
20415 1 5748 78.6028 2850 0.0275799 130 1.23856 1.23856
14254 1 9437 306.287 2850 0.107469 375 1.35403 1.35406
11874 2 9950 48.4 9405 0.0051462 7 1.06739 1.06739
16603 2 1 257.146 2850 0.0902268 341 0.268594 0.268597
6680 2 7438 184.435 2850 0.0647141 100 1.28415 1.28415
143 3 4 3385.37 6963 0.486195 1036 0.0253158 0.025528
8904 4 6778 570.605 1900 0.300318 442 0.0396587 0.0397071
4373 4 5131 2935.98 6963 0.421654 910 0.0267695 0.0268965
15522 4 10095 2705.05 6963 0.388489 974 0.025433 0.0255199
16128 4 10005 2808.66 1900 1.47824 935 0.039383 0.0675916
173 5 6 11752.9 6963 1.68791 1025 0.168123 0.372822
16856 6 9714 14403.8 6963 2.06863 1132 0.321262 1.20369
367 7 8 3392.06 6963 0.487154 777 0.00582652 0.00587574
13750 8 4396 3391.1 1900 1.78479 776 0.0316785 0.0798956
14806 9 3454 137.368 9405 0.0146059 171 0.661006 0.661006
371 9 10 58.182 9405 0.00618628 71 0.990579 0.990579
6026 10 9 48.9543 9405 0.00520513 154 0.990579 0.990579
1146 10 2823 2470.5 3800 0.650131 744 0.258379 0.265303
436 11 12 52.8205 1900 0.0278003 137 0.168919 0.168919
10859 11 9713 147.33 1900 0.0775422 298 0.168925 0.168925
17099 11 1799 20.7983 9405 0.0022114 78 0.379136 0.379136
18020 12 8698 68.7492 1900 0.0361838 194 0.513992 0.513993
17015 12 4350 50.534 1900 0.0265968 131 0.674154 0.674154
19947 12 11 46.7435 1900 0.0246018 119 0.168919 0.168919
19315 13 3087 6.16975 2850 0.00216482 8 0.270314 0.270314
488 13 14 157.72 1900 0.0830107 268 0.0664432 0.0664437
2730 14 4758 201.733 1900 0.106175 327 0.320546 0.320552
549 15 16 634.154 9284 0.0683062 159 0.287851 0.287851
17840 15 6055 179.579 1900 0.0945153 50 0.408481 0.408486
3636 16 4751 1079.07 9284 0.116229 534 0.223071 0.223077
705 17 18 3406.03 2850 1.1951 1016 0.0302859 0.039553
523 18 1855 3370.35 2850 1.18258 1013 0.448956 0.580666
8974 18 977 64.6697 950 0.0680734 295 0.374725 0.374726
8312 19 7909 293.421 2850 0.102955 330 0.780861 0.780874
8302 19 2090 390.042 2850 0.136857 484 0.796261 0.796302
4657 19 3354 2186.68 3800 0.575441 939 0.59296 0.602712
706 19 20 2147.06 3800 0.565017 881 0.584311 0.593243
19177 20 6237 2396.77 2850 0.840972 808 0.604596 0.649958
12971 20 6193 1383.92 3800 0.36419 873 0.473452 0.474701
16987 20 19 2192.26 3800 0.57691 959 0.584311 0.59402
19790 20 3523 3575.27 2850 1.25448 964 0.536168 0.73535
718 21 2168 1.345 9405 0.000143009 13 0.863545 0.863545
709 21 22 11.6313 9405 0.00123671 6 0.698813 0.698813
710 21 384 13.7773 9405 0.00146489 27 0.720328 0.720328
7500 21 7889 2.13075 9405 0.000226555 9 0.899668 0.899668
14164 22 21 9.55225 9405 0.00101566 26 0.698813 0.698813
9960 22 9454 32.6605 2850 0.0114598 115 0.133001 0.133001
4170 22 5242 12.2598 2850 0.00430167 68 0.38482 0.38482
17659 23 2353 5722.79 6963 0.821885 775 0.681388 0.728025
738 23 24 2611.57 950 2.74902 478 0.168204 1.60912
8554 24 453 4340.29 2850 1.52291 678 0.36567 0.660708
766 25 26 874.793 1900 0.460417 633 0.138403 0.139336
8340 26 8838 4.329 1900 0.00227842 9 0.306635 0.306635
8724 26 5262 863.001 1900 0.454211 632 0.0515537 0.0518828
858 27 28 8.64025 1900 0.0045475 27 0.148655 0.148656
11945 27 3587 395.02 2850 0.138603 430 0.312 0.312017
2806 28 2429 19.1143 1900 0.0100601 53 0.190985 0.190985
11671 28 27 13.0642 1900 0.00687592 47 0.148655 0.148656
13205 28 5813 0.022 1900 1.15789e-05 2 0.149008 0.149008
14515 28 9529 6.618 1900 0.00348316 23 0.385731 0.385731
859 29 30 0.265 9405 2.81765e-05 4 0.808157 0.808158
8884 30 9085 0.751 2850 0.000263509 8 2.57598 2.57598
16313 30 5029 0.1015 2850 3.5614e-05 4 2.68633 2.68633
6366 30 29 0.105 9405 1.11643e-05 2 0.808157 0.808158
7516 31 586 211.161 1900 0.111137 358 2.02304 2.02308
13344 31 9278 91.5225 9405 0.00973126 198 0.885217 0.885217
1041 31 32 24.5765 1900 0.012935 29 2.02303 2.02303
2731 32 215 143.756 1900 0.0756613 257 1.26878 1.26878
12205 32 31 23.415 1900 0.0123237 19 2.02303 2.02303
21438 32 9039 96.279 1900 0.0506732 169 1.85621 1.85621
1076 33 35 7592.78 6963 1.09045 1115 0.19116 0.231702
1075 33 34 2151.92 1900 1.13259 895 0.257797 0.321426
