votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,state_abbr,county_name,id,victory_margin
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2013,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2016,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2020,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2050,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2060,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2068,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2070,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2090,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2100,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2110,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2122,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2130,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2150,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2164,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2170,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2180,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2185,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2188,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2201,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2220,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2232,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2240,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2261,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2270,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2280,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2282,0.151710546
93003,130413,246588,0.377159472,0.528870018,"37,410",AK,Alaska,2290,0.151710546
5908,18110,24661,0.23956855,0.734357893,"12,202",AL,Autauga County,1001,0.494789343
18409,72780,94090,0.195653098,0.77351472,"54,371",AL,Baldwin County,1003,0.577861622
4848,5431,10390,0.466602502,0.522714148,583,AL,Barbour County,1005,0.056111646
1874,6733,8748,0.214220393,0.769661637,"4,859",AL,Bibb County,1007,0.555441244
2150,22808,25384,0.084699023,0.898518752,"20,658",AL,Blount County,1009,0.813819729
3530,1139,4701,0.750904063,0.242288875,"2,391",AL,Bullock County,1011,-0.508615188
3716,4891,8685,0.427864134,0.563154865,"1,175",AL,Butler County,1013,0.135290731
13197,32803,47376,0.278558764,0.692396994,"19,606",AL,Calhoun County,1015,0.41383823
5763,7803,13778,0.418275512,0.56633764,"2,040",AL,Chambers County,1017,0.148062128
1524,8809,10503,0.1451014,0.838712749,"7,285",AL,Cherokee County,1019,0.693611349
2909,15068,18255,0.159353602,0.825417694,"12,159",AL,Chilton County,1021,0.666064092
3109,4102,7268,0.427765548,0.564391855,993,AL,Choctaw County,1023,0.136626307
5712,7109,12936,0.441558442,0.549551639,"1,397",AL,Clarke County,1025,0.107993197
1234,5230,6572,0.187766281,0.795800365,"3,996",AL,Clay County,1027,0.608034084
684,5738,6532,0.104715248,0.878444581,"5,054",AL,Cleburne County,1029,0.773729333
4194,15825,20513,0.204455711,0.771462,"11,631",AL,Coffee County,1031,0.567006289
7296,16718,24626,0.296272233,0.678875985,"9,422",AL,Colbert County,1033,0.382603752
3069,3413,6543,0.469050894,0.521626165,344,AL,Conecuh County,1035,0.052575271
1780,3376,5223,0.340800306,0.646371817,"1,596",AL,Coosa County,1037,0.305571511
2379,13222,15818,0.15039828,0.835883171,"10,843",AL,Covington County,1039,0.685484891
1663,4511,6252,0.265994882,0.721529111,"2,848",AL,Crenshaw County,1041,0.455534229
3730,32734,37278,0.100059016,0.878105049,"29,004",AL,Cullman County,1043,0.778046033
4408,13798,18617,0.236772842,0.741150561,"9,390",AL,Dale County,1045,0.504377719
12826,5784,18730,0.684783769,0.308809397,"7,042",AL,Dallas County,1047,-0.375974373
3682,21779,26086,0.141148509,0.834892279,"18,097",AL,DeKalb County,1049,0.693743771
8436,27619,36905,0.228586912,0.748380978,"19,183",AL,Elmore County,1051,0.519794066
4698,10282,15213,0.308814829,0.675869322,"5,584",AL,Escambia County,1053,0.367054493
10350,32132,43474,0.238073331,0.739108433,"21,782",AL,Etowah County,1055,0.501035101
1358,6705,8196,0.165690581,0.818081991,"5,347",AL,Fayette County,1057,0.65239141
2197,9466,11955,0.18377248,0.791802593,"7,269",AL,Franklin County,1059,0.608030113
1522,9967,11659,0.130542928,0.854876061,"8,445",AL,Geneva County,1061,0.724333133
4006,838,4862,0.823940765,0.172357055,"3,168",AL,Greene County,1063,-0.65158371
4772,3172,8010,0.595755306,0.396004994,"1,600",AL,Hale County,1065,-0.199750312
2286,5623,8017,0.285144069,0.701384558,"3,337",AL,Henry County,1067,0.416240489
10547,30567,42030,0.250939805,0.727266238,"20,020",AL,Houston County,1069,0.476326434
3663,16643,20785,0.17623286,0.800721674,"12,980",AL,Jackson County,1071,0.624488814
151581,130614,290111,0.522493115,0.450220778,"20,967",AL,Jefferson County,1073,-0.072272337
1035,5819,6931,0.149329101,0.839561391,"4,784",AL,Lamar County,1075,0.69023229
9877,27735,38813,0.254476593,0.714580166,"17,858",AL,Lauderdale County,1077,0.460103574
3611,10732,14623,0.246939752,0.73391233,"7,121",AL,Lawrence County,1079,0.486972577
20987,34321,57668,0.363928002,0.595148089,"13,334",AL,Lee County,1081,0.231220087
9340,28824,39400,0.237055838,0.731573604,"19,484",AL,Limestone County,1083,0.494517766
